"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24"
"Age",0.827738176731814,9.48812558496017,1.73184464514594,16.3468361389716,0.997955491685006,0.65219799450724,0.233210898426001,0.676926907605702,0.58727040674795,2.13124358965225,0.281112854569,2.44263871734468,0.858377130985607,0.602471404487936,2.01799681582685,0.149500409472217,3.70375953389892,0.0568023463323267,0.257763603799548,3.64480626870199,0.0846515382964906,2.08949194648036,0.157139309774137,0.0758043943259981
"BMI",1.75721438921476,0.226671696687202,4.52929069858785,4.45254522494252,3.66571642664465,0.333624315209508,1.28211648076855,5.09157135307292,0.200520414150753,11.1239246178322,6.0007452614781,0.39887019298844,1.23467530384426,0.143538665572847,6.65758894207644,1.37191401544549,1.8451801940408,0.00524157509641985,3.97698654043876,0.279886153775575,0.521027007789618,2.76766799924822,0.0977625225395988,15.6593807305138
"packyears",0.680739312023257,0.112857791784725,0.294810442677196,0.609277442531417,0.40339613159257,11.4829790783886,1.85854582346872,25.1486797511289,3.01941976508758,0.120792117381927,0.0025614010520945,0.115336772471022,0.893781526673174,2.72531483651163,2.75414390431655,0.0372646300213392,2.99874958285921,2.15781493605488,4.95667004750244,4.72404812184864,0.922621464641056,1.86067743586247,0.440992056168191,0.805578703637667
"cat",15.8538694300293,0.794603074733337,6.92144530050623,0.741082713137914,1.32966089753001,0.912010874986857,2.77374878950791,0.751502250195538,2.08554068621246,2.12504121981621,0.00731567498935828,0.926835843185552,0.0411320011142163,1.52054488661314,0.183652176742933,0.786666211108842,0.0023417042292019,4.12332397942294,1.63643635465561,1.41314845739646,1.23976305710522,0.00505656209965562,0.533703746673456,4.73938126816016
"PostBDFEV1pred",15.8286475342208,14.2534538196461,0.0402778880105586,1.44781464140343,0.103510504978472,0.372335881450584,1.83757917079792,0.0182593865334,0.595658943416586,0.0299024186871314,0.41636879831736,0.645312875428811,0.238979948412604,0.602526871059518,0.0827348388427021,0.0115319564647198,0.484494338934937,0.687816765705453,0.491641813452225,0.537047092258953,0.0751047622161972,0.298995474385163,0.00394081714652163,0.135508039127286
"PostBDFEV1FVC",10.6210500608869,15.2216832111823,0.694138416956586,4.36968346620407,0.998023799310815,1.73782895190626,2.52039730182775,0.155664666117717,0.143579630975016,0.954492572786713,0.00796468760814554,1.0891993007529,0.277101790949978,0.0105296435524487,0.406613498281659,0.509938089895784,1.31207594705008,1.66576792128228,0.469239580767602,0.271164393665351,0.620960574462068,0.580523701054926,0.00438686270388395,1.04999962186725
"mmrc",22.4999398365424,3.3058084154744,3.65044755653267,0.103109121868617,1.19018883588908,0.451722384252958,1.32641009405666,1.23009193845102,1.10661674832079,0.21477163235886,0.143100162777944,0.117157001669085,0.0896571005531208,0.224407781055553,0.0253967207530227,0.985418327926249,0.0169313970425724,0.397132585747286,0.462638849220532,1.3607204778267,1.65065808659641,0.0251191783301644,1.38954316455118,0.756248095620865
"Gender",0.0780292932256623,3.30409111290914,1.06182397416579,8.63563980675655,0.0254114698247671,6.66224280877591,0.101388425153142,1.39513248609677,1.28341353034107,0.054983707560493,0.599832450740674,0.0267783573881102,4.79758347935989,28.490173757587,0.251722044084514,0.13134870967089,1.51326200832541,0.13382094500699,1.70032578294331,0.00189901565931208,0.332760837277625,1.20363878669768,5.03643066000871,0.644481641069517
"smoking_status",2.88548241903167,2.11452298782577,12.8235696554889,2.79625887092879,4.60593850737507,6.7357512577013,1.75270876430655,3.856764382995,0.702140477894747,0.975668309417347,34.9054853287727,1.54614533650578,6.52046203717542,2.16744447398154,1.23456172876596,6.58369891502054,5.45889715648316,0.493864295006081,13.8215868241236,23.4094910580253,0.148127158562394,6.17323992385585,0.110526803218628,1.80208824300036
"liver_cirrhosis",0.38172779820531,0.821695197131802,0.606878268499565,0.00546266128632416,0.198688388017022,0.615002212961109,3.44355871703729,7.24260469175926,4.97210891075041,8.98263069286184,2.58102896987489,25.6927175572189,2.09037134443183,2.77781111663196,0.633328961485262,8.34446486435807e-06,0.108316937681015,1.5554287539872,0.258900417540177,2.03693009136214,15.1879094727853,3.60712525300809,1.20388031928154,3.5733155043898
"lungoesobreastca",0.629467787126387,0.373138527434967,1.26314457771638,0.828819205944016,0.334613010553912,5.92273617905701e-05,6.45100416011451,4.67056881350639,6.27201139660371,2.5734019875943,0.169362179228546,14.1865421490021,0.488156222741678,4.94267095009048,0.298748110211669,14.6349219525858,5.86074720469473,1.84850277140234,9.98148768713661,0.802183572407122,0.148257307567706,7.95507926823511,4.4295874713048,0.118949013086759
"otherca",0.0165140684290176,0.0414765847862685,0.393079598797883,0.167303175986431,1.85951403109097,0.457341375603575,3.07389301289716,3.70610816035921,12.4416654782312,3.4391653217375,12.1017443624816,0.0371641137499674,0.33889189110068,3.29906219441877,15.8273055659504,0.284864241360902,17.6344498400936,2.90886445017165,0.0342044632544027,0.751390760640675,8.97316797529986,0.426588332217405,0.578292749150812,0.769559391804875
"diabetes",0.120385883541597,3.13580285635703,2.51679503465559,9.1074285674081,1.37991388836395,3.78784294515209,0.00269911165408135,0.0931831096638495,0.00771670143263733,0.0326393037898537,4.64832875582643,1.76361429813827,0.0993093773729919,10.554486633033,0.0212559946948564,10.1817279546655,2.19071896646459,3.23611821804575,0.021505113547451,12.4792530783931,2.60579826262544,4.6850633675983,0.116351228111503,7.88886569172799
"Coronary_Artery_Disease",1.31896739103913,8.70412980589626,0.17034276311951,6.90223658571527,1.64527059914183,1.00330580703996,4.44246879666984,1.30017935694993,1.96586927918587,1.27788826214529,0.619827875456117,2.86624961573034,0.0110649379405916,4.65919551989643,0.144478071828231,0.690165933409656,3.79095899703941,0.223884884902231,5.52463640130681,14.6180763311503,1.7853496318071,0.0371083953003579,4.31498113667606,0.34628102052402
"AF",1.13692316949373,8.37233669648162,0.840333679093164,0.661911518971411,1.92879958574277,0.698250109951103,14.3867842042131,2.30312558034018,2.37057263421399,3.29213544397276,2.45506044666997,0.218819521337985,1.12510069241318,2.24131569970883,1.70555543690209,0.35035406182898,0.583781686074001,0.401790624639298,0.254471945615953,0.072728071951278,10.4714827460411,0.119375126063518,2.55215241663704,7.38666222002697
"Heart_failure",1.176584766064,10.0561095907131,2.34175722906597,8.6027653922512,1.91841544903498,2.10601189386684,2.48044561958274,2.29300314761886,5.39095566276337,1.29116594556977,0.028207449488402,0.166496077706545,1.01622507303767,0.179430885351963,0.161171708873526,3.06805850512023,0.63053822943566,6.94281338914911,0.183325564584982,0.16675605952461,0.905953071696186,0.862642907253918,0.775064225383028,0.96307280673588
"anxiety",0.0544469287820757,0.034879508379359,2.19708868013287,1.93745456215113,1.93493523163303,0.468137107650713,8.7732367713992,4.83216877616881,3.90797745251757,0.0312235345519233,0.201978186212294,5.56277573127533,16.9016231313313,1.15015247604682,1.97038141891361,0.20345894785441,0.388573333742737,9.66096076282173,14.8415104451712,0.445979298948892,3.36617088830881,3.65957413918798,5.99942333284401,2.96317479824608
"PUD",0.632995484227581,0.00285334875183231,0.396602539805919,0.0998177328614197,1.53622021191717,7.01864297076623,4.58012531730991,0.0529787306935031,3.77054491397722,15.0930356502309,0.0129052175038835,0.0362788093024594,6.14975169365941,0.801091522136031,1.05908718641065,22.6873289245802,2.60408537445753,3.71194508298748,3.91282036752599,0.00302037978032891,6.54596036644111,0.294499649451223,2.82718834279359,2.63618861826927
